,product,category,sub_category,brand,sale_price,market_price,image_url,p_url,type,eancode,rating,description
0,Original Disinfectant Toilet Cleaner Liquid,Cleaning & Household,All Purpose Cleaners,Harpic,489,534,https://www.bigbasket.com/media/uploads/p/s/1207190_5-harpic-original-disinfectant-toilet-cleaner-liquid.jpg,https://www.bigbasket.com/pd/1207190/harpic-original-disinfectant-toilet-cleaner-liquid-3x1-l/,Toilet Cleaners,Invalid Code,4.2,"Harpic All in One is the one-stop shop for all toilet cleaning needs. Unlike ordinary cleaners, it combines the benefits of Tough stain removal, 99.9% germ kill, and Freshness. The result is a sparkling clean, hygienic, fresh, and germ-free toilet without any malodour with every use of Harpic. 5x power action: 5 times better at limescale removal VS ordinary cleaners, Helps eliminate mal-odour, Clings to attack stains, Kills all germs (*Post 60 minutes of contact with the undiluted product). Harpic All in One is the one-stop shop for all toilet cleaning needs. Unlike ordinary cleaners, it combines the benefits of Tough stain removal, 99.9% germ kill, and Freshness. The result is a sparkling clean, hygienic, fresh, and germ-free toilet without any malodour with every use of Harpic. 

5x power action:
5 times better at limescale removal VS ordinary cleaners.
Helps eliminate mal-odour,
Clings to attack stains,
Kills all germs (*Post 60 minutes of contact with the undiluted product).
Always use the Harpic toilet separately. Do not mix with other products."
1,"Disinfectant Surface & Floor Cleaner Liquid - Citrus, Kills 99.9% Germs",Cleaning & Household,All Purpose Cleaners,Lizol,302,380,https://www.bigbasket.com/media/uploads/p/s/249154_10-lizol-disinfectant-surface-floor-cleaner-liquid-citrus-kills-999-germs.jpg,https://www.bigbasket.com/pd/249154/lizol-disinfectant-surface-floor-cleaner-liquid-citrus-kills-999-germs-2-l/,Floor & Other Cleaners,8901396115113,4.2,"Lizol is India's No.1 Household Cleaning Brand which is highly recommended by the Indian Medical Association. Lizol guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your room smelling fragrant with a wide variety of mesmerising aromas. 
This cleaner removes 100 types of Stains & Germs and leaves a Pleasant Fragrance. Available Variants Are Pine, Floral, Citrus, Jasmine, Lavender, Sandal and Neem in the sizes: 200 ml, 500 ml, 975 ml and 2L."
2,Surface Disinfectant Spray,Cleaning & Household,All Purpose Cleaners,Savlon,256.76,318,https://www.bigbasket.com/media/uploads/p/s/1212019_1-savlon-surface-disinfectant-spray.jpg,https://www.bigbasket.com/pd/1212019/savlon-surface-disinfectant-spray-2x170-g/,Disinfectant Spray & Cleaners,Invalid Code,4.4,"A wide variety of high traffic surfaces such as tables, door handles, chairs, carpets, curtains etc.are touched often by a number of different people and are a reservoir for a wide variety of germs and bacteria. Introducing, Savlon Surface Disinfectant Spray which will help keep you and your loved ones safe by killing a wide range of germs like bacteria, fungi and moulds. This versatile spray disinfects and deodorizes in one easy step. Savlon's unique spray formula can be used on various hard & soft surfaces to kill 99.99% germs around your home and leave the house smelling fresh and pleasant. It is also effective in killing H1N1. Its active ingredient also kills antibiotic-resistant germs. To use, shake the can. Hold the can at a distance of 15-20 cm on the desired surface to be disinfected and spray such that the surface is covered in mist. There is no need to wipe the surface. Allow it to air dry. Do not use on copper, brass, painted/shellacked/lacquered/ varnished surfaces (including treated/polished wood) or acrylic plastics. Savlon Surface Disinfectant Spray protects your family by providing an effective germ-kill Kills a wide range of germs, bacteria, moulds & fungiIncredibly versatile with a fresh & pleasant smell. It can be used on a wide variety of hard and soft surfaces around your home Kills 99.99% germs around the home including antibiotic-resistant germs Disinfect high-traffic surfaces such as Tables, Door Knobs, Chairs, keys, packages etc with one easy spray"
3,Harpic Disinfectant Toilet Cleaner Original200ml+Lizol Floor Cleaner Citrus200ml,Cleaning & Household,All Purpose Cleaners,bb Combo,74.48,76,https://www.bigbasket.com/media/uploads/p/s/1204983_7-bb-combo-harpic-disinfectant-toilet-cleaner-original200mllizol-floor-cleaner-citrus200ml.jpg,https://www.bigbasket.com/pd/1204983/bb-combo-harpic-disinfectant-toilet-cleaner-original200mllizol-floor-cleaner-citrus200ml-combo/,Toilet Cleaners,Invalid Code,,"Harpic All in One is the one stop shop for all toilet cleaning needs. Unlike ordinary cleaners, it combines the benefits of Tough stain removal, 99.9% germ kill and Freshness. The result is a sparkling clean, hygienic, fresh and germ free toilet without any malodour with every use of Harpic. 5x power action: 5 times better at lime scale removal VS ordinary cleaners, Helps eliminate mal-odour, Clings to attack stains, Kills all germs (*Post 60 minutes of contact with undiluted product). Lizol is India’s No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizol. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier and germ free. The product is available in 7 different fragrances and is perfect for floors, tiles, sinks, kitchen counters and all other washable surfaces in your home. Always use Harpic toilet cleaner separately. Do not mix with other products."
4,"Harpic Toilet Cleaner Liquid - Original 1 L + Lizol Floor Cleaner, Citrus - 2L",Cleaning & Household,All Purpose Cleaners,bb Combo,462,558,https://www.bigbasket.com/media/uploads/p/s/1208977_2-bb-combo-harpic-toilet-cleaner-liquid-original-1-l-lizol-floor-cleaner-citrus-2l.jpg,https://www.bigbasket.com/pd/1208977/bb-combo-harpic-toilet-cleaner-liquid-original-1-l-lizol-floor-cleaner-citrus-2l-combo/,Toilet Cleaners,Invalid Code,,"Harpic

Harpic is Indias No.1 Toilet Cleaning Brand which is highly recommended by the Indian Medical Association. Harpic guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your toilets and bathrooms smelling fragrant with a wide variety of mesmerising aromas.
Removes 10 times more yellowish and tough stains
A strategically bent bottleneck shape helps pour the liquid into deep corners under the toilet rim.
The thick liquid clings and cleans from rim to U-bend.
Available in three scents: Original, Orange, and Rose. Available Sizes: 200ml, 500ml, 750 ml and 1L

Lizol 

Lizol is Indias No.1 Household Cleaning Brand which is highly recommended by the Indian Medical Association. Lizol guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your room smelling fragrant with a wide variety of mesmerising aromas.
Removes 100 types of Stains & Germs.
Use directly or diluted for regular use. Suitable for cleaning all kinds of surfaces.
Leaves a Pleasant Fragrance.
Available Variants: Pine, Floral, Citrus, Jasmine, Lavender, Sandal and Neem Available Sizes: 200ml, 500ml, 975ml, and 2L"
5,Disinfectant Bathroom Cleaner Liquid - Lemon,Cleaning & Household,All Purpose Cleaners,Harpic,299,362,https://www.bigbasket.com/media/uploads/p/s/1208843_3-harpic-disinfectant-bathroom-cleaner-liquid-lemon.jpg,https://www.bigbasket.com/pd/1208843/harpic-disinfectant-bathroom-cleaner-liquid-lemon-2x1-l/,Toilet Cleaners,Invalid Code,4.2,Harpic Bathroom Cleaner gives you unbeatable cleaning on greasy soil and particulate matter and Harpic Freshness for the whole bathroom. Its thick liquid formula with powerful cleaning agents removes tough stains and kills 99.9% of germs. It also gives your bathroom a pleasant fresh fragrance.
6,"Super Saver Pack Toilet Cleaner Original, 500ml + Bathroom Cleaner Lemon, 500ml",Cleaning & Household,All Purpose Cleaners,Harpic,162.16,184,https://www.bigbasket.com/media/uploads/p/s/1200385_4-harpic-super-saver-pack-toilet-cleaner-original-500ml-bathroom-cleaner-lemon-500ml.jpg,https://www.bigbasket.com/pd/1200385/harpic-super-saver-pack-toilet-cleaner-original-500ml-bathroom-cleaner-lemon-500ml-combo/,Toilet Cleaners,Invalid Code,,"Harpic Power Plus the ultimate one stop solution for all your toilet cleaning needs. A specialized All-in-one product, unlike the ordinary toilet cleaners, harpic power plus combines the benefits of tough stain remover, 99.9% germ killer, and freshener in one, making it the smartest toilet solution. The flagship, harpic original is a thick liquid formula that clings to the toilet surface to clean deeply from the rim to the u-bend. Moreover, it also disinfects your toilet and now, with the improved harpic technology, you get 10 times more yellowish stain removal, 5 times better limescale removal, resulting in sparkling clean, hygienic and fresh toilet with every use of Harpic. This also helps fight odour and any unpleasant smell in and around the toilet. Harpic Power Plus toilet cleaner is many times better than the ordinary bleach, acid and phenyl, when it comes to cleaning, fragrance as well as germ kill. Regular use of Harpic toilet cleaner prevents the build-up of stains in the toilet bowl and keeps it visibly clean with effective removal of germs in the toilet. Harpic is available in various sizes and fragrances including: Orange and Rose. Harpics strategically bent bottleneck shape lets you pour the liquid into deep corners under the toilet rim, without letting your hands touch  Harpic Bathroom Cleaner is a strong bathroom disinfectant and cleaning liquid that helps remove the toughest of stains. It gives you an unbeatable cleaning on greasy soil and particulate matter and the freshest Harpic freshness for the whole bathroom. It has a thick liquid formula with powerful cleaning agents that lift and remove tough stains from almost all bathroom surfaces and kills 99.9% of germs to give you a disinfected and germ-safe bathroom. Harpic Bathroom Cleaner can be used as a tile cleaner, basin cleaner or even for floor cleaning in the bathroom area. It also gives your bathroom a pleasant fresh fragrance that is available in two variants - Lemon or floral.Harpic Bathroom Cleaner is safe to be used on most bathroom surfaces including Tiles, Taps, Tubs & Shower panels, Ceramic surfaces, Stainless steel and Granite Surfaces. Do not use it on Aluminium, Brass and Copper. Always spot check on a small, hidden area before using. Suitable for most bathroom surfaces. Do not use on: Aluminium, Brass and Copper. Always spot check on a small, hidden area before using."
7,Original 1 ltr + Bathroom Cleaner Lemon 500 ml,Cleaning & Household,All Purpose Cleaners,Harpic,247.12,273,https://www.bigbasket.com/media/uploads/p/s/1200270_4-harpic-original-1-ltr-bathroom-cleaner-lemon-500-ml.jpg,https://www.bigbasket.com/pd/1200270/harpic-original-1-ltr-bathroom-cleaner-lemon-500-ml-combo/,Toilet Cleaners,Invalid Code,,"Harpic All in One is the one stop shop for all toilet cleaning needs. Unlike ordinary cleaners, it combines the benefits of Tough stain removal, 99.9% germ kill and Freshness. The result is a sparkling clean, hygienic, fresh and germ free toilet without any malodour with every use of Harpic. 5x power action: 5 times better at lime scale removal VS ordinary cleaners, Helps eliminate mal-odour, Clings to attack stains, Kills all germs (*Post 60 minutes of contact with undiluted product). Unlike ordinary cleaners, it combines the benefits of Tough stain removal, 99.9% germ kill and Freshness. It Helps eliminate mal-odour, Clings to attack stains, Kills all germs (*Post 60 minutes of contact with the undiluted product). Harpic bathroom cleaner gives you unbeatable cleaning on greasy soil and particulate matter and Harpic freshness for the whole bathroom. Its thick liquid formula with powerful cleaning agents removes tough stains and kills 99.9 percent of germs. It also gives your bathroom a pleasant fresh fragrance. Used for regular cleaning of bathroom floor and tiles. Use 1.5 capfuls in half bucket of water. For tough stains and sink. Use undiluted to clean for best results. Then scrub gently and rinse. For disinfection of bathroom floor, tiles and sink. Use undiluted for best results or dilute using 1.5 capfuls in half bucket of water. Do not mix Harpic Toilet and Bathroom cleaners with each other or any other product."
8,Disinfectant Toilet Cleaner Liquid - 1 L + Bathroom Cleaner Liquid - 500 ml,Cleaning & Household,All Purpose Cleaners,Harpic,247.12,273,https://www.bigbasket.com/media/uploads/p/s/1200198_7-harpic-disinfectant-toilet-cleaner-liquid-1-l-bathroom-cleaner-liquid-500-ml.jpg,https://www.bigbasket.com/pd/1200198/harpic-disinfectant-toilet-cleaner-liquid-1-l-bathroom-cleaner-liquid-500-ml-combo/,Toilet Cleaners,Invalid Code,,"Harpic All in One is the one stop shop for all toilet cleaning needs. Unlike ordinary cleaners, it combines the benefits of Tough stain removal, 99.9% germ kill and Freshness. The result is a sparkling clean, hygienic, fresh and germ free toilet without any malodour with every use of Harpic. 5x power action: 5 times better at lime scale removal VS ordinary cleaners, Helps eliminate mal-odour, Clings to attack stains, Kills all germs (*Post 60 minutes of contact with undiluted product). Unlike ordinary cleaners, it combines the benefits of Tough stain removal, 99.9% germ kill and Freshness. It Helps eliminate mal-odour, Clings to attack stains, Kills all germs (*Post 60 minutes of contact with undiluted product). Harpic bathroom cleaner gives you unbeatable cleaning on greasy soil and particulate matter and Harpic freshness for the whole bathroom. Its thick liquid formula with powerful cleaning agents removes tough stains and kills 99.9 percent of germs. It also gives your bathroom a pleasant fresh fragrance. Used for regular cleaning of bathroom floor and tiles. Use 1.5 capfuls in half bucket of water. For tough stains and sink. Use undiluted to clean for best results. Then scrub gently and rinse. For disinfection of bathroom floor, tiles and sink. Use undiluted for best results or dilute using 1.5 capfuls in half bucket of water. Do not mix Harpic Toilet and Bathroom cleaners with each other or any other product."
9,"Harpic Bathroom Cleaner - Lemon 1 L + Harpic Toilet Cleaner, Original - 1 L",Cleaning & Household,All Purpose Cleaners,Harpic,317.52,359,https://www.bigbasket.com/media/uploads/p/s/1208975_2-harpic-harpic-bathroom-cleaner-lemon-1-l-harpic-toilet-cleaner-original-1-l.jpg,https://www.bigbasket.com/pd/1208975/harpic-harpic-bathroom-cleaner-lemon-1-l-harpic-toilet-cleaner-original-1-l-combo/,Toilet Cleaners,Invalid Code,,"Harpic Bathroom Cleaner gives you unbeatable cleaning on greasy soil and particulate matter and Harpic Freshness for the whole bathroom. Its thick liquid formula with powerful cleaning agents removes tough stains and kills 99.9% of germs. It also gives your bathroom a pleasant fresh fragrance.
Harpic Toilet Cleaner: Harpic is Indias No.1 Toilet Cleaning Brand which is highly recommended by the Indian Medical Association. Harpic guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your toilets and bathrooms smelling fragrant with a wide variety of mesmerising aromas.

Removes 10 times more yellowish and tough stains
A strategically bent bottleneck shape helps pour the liquid into deep corners under the toilet rim.
A thick liquid that clings and cleans from rim to U-bend.
Available in three scents: Original, Orange, and Rose. Available Sizes: 200ml, 500ml, 750 ml and 1L"
